"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "XML", "HTML", "Rust", "vue", "CSS", "comment", "blank", "total"
"e:\Project\Rust\MarkStudio\markstudio\README.md", "Markdown", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4, 8
"e:\Project\Rust\MarkStudio\markstudio\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"e:\Project\Rust\MarkStudio\markstudio\package-lock.json", "JSON", 1749, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1750
"e:\Project\Rust\MarkStudio\markstudio\package.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"e:\Project\Rust\MarkStudio\markstudio\public\tauri.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"e:\Project\Rust\MarkStudio\markstudio\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\Project\Rust\MarkStudio\markstudio\src-tauri\build.rs", "Rust", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"e:\Project\Rust\MarkStudio\markstudio\src-tauri\capabilities\default.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"e:\Project\Rust\MarkStudio\markstudio\src-tauri\src\collaboration\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"e:\Project\Rust\MarkStudio\markstudio\src-tauri\src\collaboration\network.rs", "Rust", 0, 0, 0, 0, 0, 0, 319, 0, 0, 167, 58, 544
"e:\Project\Rust\MarkStudio\markstudio\src-tauri\src\collaboration\ot.rs", "Rust", 0, 0, 0, 0, 0, 0, 1015, 0, 0, 304, 112, 1431
"e:\Project\Rust\MarkStudio\markstudio\src-tauri\src\collaboration\session.rs", "Rust", 0, 0, 0, 0, 0, 0, 1176, 0, 0, 474, 233, 1883
"e:\Project\Rust\MarkStudio\markstudio\src-tauri\src\collaboration\sync.rs", "Rust", 0, 0, 0, 0, 0, 0, 433, 0, 0, 197, 124, 754
"e:\Project\Rust\MarkStudio\markstudio\src-tauri\src\commands.rs", "Rust", 0, 0, 0, 0, 0, 0, 177, 0, 0, 216, 37, 430
"e:\Project\Rust\MarkStudio\markstudio\src-tauri\src\database.rs", "Rust", 0, 0, 0, 0, 0, 0, 113, 0, 0, 110, 33, 256
"e:\Project\Rust\MarkStudio\markstudio\src-tauri\src\lib.rs", "Rust", 0, 0, 0, 0, 0, 0, 38, 0, 0, 3, 4, 45
"e:\Project\Rust\MarkStudio\markstudio\src-tauri\src\main.rs", "Rust", 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 2, 7
"e:\Project\Rust\MarkStudio\markstudio\src-tauri\src\parser.rs", "Rust", 0, 0, 0, 0, 0, 0, 93, 0, 0, 59, 26, 178
